id v0 v1
532 155 8
533 156 146
534 146 155
535 155 157
536 157 8
537 155 147
538 147 157
539 146 159
540 159 158
541 158 146
542 159 148
543 148 158
544 146 160
545 160 155
546 160 147
547 158 160
548 158 149
549 149 160
550 160 161
551 161 147
552 149 161
553 161 162
554 162 147
555 161 150
556 150 162
557 148 164
558 164 163
559 163 148
560 164 151
561 151 163
562 148 165
563 165 158
564 165 149
565 163 165
566 163 152
567 152 165
568 165 166
569 166 149
570 152 166
571 149 167
572 167 161
573 167 150
574 166 167
575 166 153
576 153 167
577 167 168
578 168 150
579 153 168
580 168 169
581 169 150
582 168 154
583 154 169
584 151 171
585 171 170
586 170 151
587 171 11
588 11 170
589 43 170
590 23 170
591 151 172
592 172 163
593 172 152
594 170 172
595 23 172
596 172 173
597 173 152
598 23 173
599 46 173
600 24 173
601 152 174
602 174 166
603 174 153
604 173 174
605 24 174
606 174 175
607 175 153
608 24 175
609 49 175
610 25 175
611 153 176
612 176 168
613 176 154
614 175 176
615 25 176
616 176 177
617 177 154
618 25 177
619 52 177
620 12 177
621 177 178
622 178 154
623 12 178
624 8 179
625 179 147
626 179 180
627 180 181
628 181 179
629 147 181
630 181 150
631 180 182
632 182 183
633 183 180
634 181 183
635 183 184
636 184 181
637 150 184
638 184 154
639 182 10
640 60 182
641 183 60
642 61 183
643 184 61
644 62 184
645 154 62
646 8 186
647 186 185
648 185 8
649 186 179
650 179 185
651 185 157
652 185 147
653 179 188
654 188 187
655 187 179
656 188 180
657 180 187
658 179 189
659 189 185
660 189 147
661 187 189
662 187 181
663 181 189
664 189 190
665 190 147
666 181 190
667 190 162
668 190 150
669 180 192
670 192 191
671 191 180
672 192 182
673 182 191
674 180 193
675 193 187
676 193 181
677 191 193
678 191 183
679 183 193
680 193 194
681 194 181
682 183 194
683 181 195
684 195 190
685 195 150
686 194 195
687 194 184
688 184 195
689 195 196
690 196 150
691 184 196
692 196 169
693 196 154
694 182 198
695 198 197
696 197 182
697 198 10
698 10 197
699 77 197
700 60 197
701 182 199
702 199 191
703 199 183
704 197 199
705 60 199
706 199 200
707 200 183
708 60 200
709 80 200
710 61 200
711 183 201
712 201 194
713 201 184
714 200 201
715 61 201
716 201 202
717 202 184
718 61 202
719 83 202
720 62 202
721 184 203
722 203 196
723 203 154
724 202 203
725 62 203
726 203 204
727 204 154
728 62 204
729 86 204
730 12 204
731 204 178
732 179 205
733 205 8
734 180 206
735 206 179
736 205 206
737 206 207
738 207 205
739 182 208
740 208 180
741 206 208
742 208 209
743 209 206
744 207 209
745 209 210
746 210 207
747 93 182
748 208 93
749 94 208
750 209 94
751 95 209
752 210 95
753 13 210
754 186 211
755 211 8
756 179 211
757 211 212
758 212 8
759 211 205
760 205 212
761 188 213
762 213 179
763 180 213
764 179 214
765 214 211
766 214 205
767 213 214
768 213 206
769 206 214
770 214 215
771 215 205
772 206 215
773 215 216
774 216 205
775 215 207
776 207 216
