id_vertex coord_x coord_y coord_z
0 0.5773502691896258 0.5773502691896258 0.5773502691896258
1 0.5773502691896258 0.5773502691896258 -0.5773502691896258
2 0.5773502691896258 -0.5773502691896258 0.5773502691896258
3 0.5773502691896258 -0.5773502691896258 -0.5773502691896258
4 -0.5773502691896258 0.5773502691896258 0.5773502691896258
5 -0.5773502691896258 0.5773502691896258 -0.5773502691896258
6 -0.5773502691896258 -0.5773502691896258 0.5773502691896258
7 -0.5773502691896258 -0.5773502691896258 -0.5773502691896258
8 0 0.9341723589627158 0.3568220897730899
9 0 0.9341723589627158 -0.3568220897730899
10 0 -0.9341723589627158 0.3568220897730899
11 0 -0.9341723589627158 -0.3568220897730899
12 0.3568220897730899 0 0.9341723589627158
13 -0.3568220897730899 0 0.9341723589627158
14 0.3568220897730899 0 -0.9341723589627158
15 -0.3568220897730899 0 -0.9341723589627158
16 0.9341723589627158 0.3568220897730899 0
17 0.9341723589627158 -0.3568220897730899 0
18 -0.9341723589627158 0.3568220897730899 0
19 -0.9341723589627158 -0.3568220897730899 0
