id x y z
188 0 0.514496 -0.857493
189 -0.235702 0.235702 -0.942809
190 -0.492366 0.123091 -0.86164
191 -0.123091 0.86164 -0.492366
192 0 0.857493 -0.514496
193 -0.272166 0.680414 -0.680414
194 -0.57735 0.57735 -0.57735
195 -0.680414 0.272166 -0.680414
196 -0.86164 0.123091 -0.492366
197 -0.0990148 0.990148 -0.0990148
198 0 0.989949 -0.141421
199 -0.235702 0.942809 -0.235702
200 -0.492366 0.86164 -0.123091
201 -0.680414 0.680414 -0.272166
202 -0.86164 0.492366 -0.123091
203 -0.942809 0.235702 -0.235702
204 -0.990148 0.0990148 -0.0990148
205 0.316228 0 -0.948683
206 0.408248 0.408248 -0.816497
207 0.707107 0 -0.707107
208 0.408248 0.816497 -0.408248
209 0.816497 0.408248 -0.408248
210 0.948683 0 -0.316228
211 0.0990148 0.0990148 -0.990148
212 0.141421 0 -0.989949
213 0.123091 0.492366 -0.86164
214 0.235702 0.235702 -0.942809
215 0.492366 0.123091 -0.86164
216 0.514496 0 -0.857493
217 0.123091 0.86164 -0.492366
218 0.272166 0.680414 -0.680414
219 0.57735 0.57735 -0.57735
220 0.680414 0.272166 -0.680414
221 0.86164 0.123091 -0.492366
222 0.857493 0 -0.514496
223 0.0990148 0.990148 -0.0990148
224 0.235702 0.942809 -0.235702
225 0.492366 0.86164 -0.123091
226 0.680414 0.680414 -0.272166
227 0.86164 0.492366 -0.123091
228 0.942809 0.235702 -0.235702
229 0.990148 0.0990148 -0.0990148
230 0.989949 0 -0.141421
231 0.408248 -0.408248 -0.816497
232 0.408248 -0.816497 -0.408248
233 0.816497 -0.408248 -0.408248
234 0.0990148 -0.0990148 -0.990148
235 0.123091 -0.492366 -0.86164
236 0.235702 -0.235702 -0.942809
237 0.492366 -0.123091 -0.86164
238 0.123091 -0.86164 -0.492366
239 0.272166 -0.680414 -0.680414
240 0.57735 -0.57735 -0.57735
241 0.680414 -0.272166 -0.680414
242 0.86164 -0.123091 -0.492366
243 0.0990148 -0.990148 -0.0990148
244 0.235702 -0.942809 -0.235702
245 0.492366 -0.86164 -0.123091
246 0.680414 -0.680414 -0.272166
247 0.86164 -0.492366 -0.123091
248 0.942809 -0.235702 -0.235702
249 0.990148 -0.0990148 -0.0990148
250 -0.0330996 -0.0803753 0.996215
251 -0.0331946 -0.186621 0.981871
252 -0.0803753 -0.0330996 0.996215
253 -0.186621 -0.0331946 0.981871
254 -0.0412999 -0.443926 0.895111
255 -0.0414014 -0.576487 0.816057
256 -0.11258 -0.218941 0.969222
257 -0.218941 -0.11258 0.969222
258 -0.120956 -0.352052 0.928132
259 -0.259323 -0.384169 0.886096
260 -0.352052 -0.120956 0.928132
261 -0.384169 -0.259323 0.886096
262 -0.443926 -0.0412999 0.895111
263 -0.576487 -0.0414014 0.816057
264 -0.0414014 -0.816057 0.576487
265 -0.0412999 -0.895111 0.443926
266 -0.133629 -0.635557 0.760402
267 -0.272288 -0.535771 0.799255
268 -0.133629 -0.760402 0.635557
269 -0.272288 -0.799255 0.535771
270 -0.427403 -0.56613 0.704857
271 -0.427403 -0.704857 0.56613
272 -0.535771 -0.272288 0.799255
273 -0.635557 -0.133629 0.760402
274 -0.56613 -0.427403 0.704857
275 -0.704857 -0.427403 0.56613
276 -0.760402 -0.133629 0.635557
277 -0.799255 -0.272288 0.535771
278 -0.816057 -0.0414014 0.576487
279 -0.895111 -0.0412999 0.443926
280 -0.0331946 -0.981871 0.186621
281 -0.0330996 -0.996215 0.0803753
282 -0.0803753 -0.996215 0.0330996
283 -0.186621 -0.981871 0.0331946
284 -0.120956 -0.928132 0.352052
285 -0.259323 -0.886096 0.384169
286 -0.11258 -0.969222 0.218941
287 -0.218941 -0.969222 0.11258
288 -0.384169 -0.886096 0.259323
289 -0.352052 -0.928132 0.120956
290 -0.443926 -0.895111 0.0412999
291 -0.576487 -0.816057 0.0414014
292 -0.56613 -0.704857 0.427403
293 -0.704857 -0.56613 0.427403
294 -0.535771 -0.799255 0.272288
295 -0.635557 -0.760402 0.133629
296 -0.799255 -0.535771 0.272288
297 -0.760402 -0.635557 0.133629
298 -0.816057 -0.576487 0.0414014
299 -0.895111 -0.443926 0.0412999
300 -0.886096 -0.259323 0.384169
301 -0.928132 -0.120956 0.352052
302 -0.886096 -0.384169 0.259323
303 -0.928132 -0.352052 0.120956
304 -0.969222 -0.11258 0.218941
305 -0.969222 -0.218941 0.11258
306 -0.981871 -0.186621 0.0331946
307 -0.996215 -0.0803753 0.0330996
308 -0.981871 -0.0331946 0.186621
309 -0.996215 -0.0330996 0.0803753
310 -0.0330996 0.0803753 0.996215
311 -0.0331946 0.186621 0.981871
312 -0.0803753 0.0330996 0.996215
313 -0.186621 0.0331946 0.981871
314 -0.0412999 0.443926 0.895111
315 -0.0414014 0.576487 0.816057
316 -0.11258 0.218941 0.969222
317 -0.218941 0.11258 0.969222
318 -0.120956 0.352052 0.928132
319 -0.259323 0.384169 0.886096
320 -0.352052 0.120956 0.928132
321 -0.384169 0.259323 0.886096
322 -0.443926 0.0412999 0.895111
323 -0.576487 0.0414014 0.816057
324 -0.0414014 0.816057 0.576487
325 -0.0412999 0.895111 0.443926
326 -0.133629 0.635557 0.760402
327 -0.272288 0.535771 0.799255
328 -0.133629 0.760402 0.635557
329 -0.272288 0.799255 0.535771
330 -0.427403 0.56613 0.704857
331 -0.427403 0.704857 0.56613
332 -0.535771 0.272288 0.799255
333 -0.635557 0.133629 0.760402
334 -0.56613 0.427403 0.704857
335 -0.704857 0.427403 0.56613
336 -0.760402 0.133629 0.635557
337 -0.799255 0.272288 0.535771
338 -0.816057 0.0414014 0.576487
339 -0.895111 0.0412999 0.443926
340 -0.0331946 0.981871 0.186621
341 -0.0330996 0.996215 0.0803753
342 -0.0803753 0.996215 0.0330996
343 -0.186621 0.981871 0.0331946
344 -0.120956 0.928132 0.352052
345 -0.259323 0.886096 0.384169
346 -0.11258 0.969222 0.218941
347 -0.218941 0.969222 0.11258
348 -0.384169 0.886096 0.259323
349 -0.352052 0.928132 0.120956
350 -0.443926 0.895111 0.0412999
351 -0.576487 0.816057 0.0414014
352 -0.56613 0.704857 0.427403
353 -0.704857 0.56613 0.427403
354 -0.535771 0.799255 0.272288
355 -0.635557 0.760402 0.133629
356 -0.799255 0.535771 0.272288
357 -0.760402 0.635557 0.133629
358 -0.816057 0.576487 0.0414014
359 -0.895111 0.443926 0.0412999
360 -0.886096 0.259323 0.384169
361 -0.928132 0.120956 0.352052
362 -0.886096 0.384169 0.259323
363 -0.928132 0.352052 0.120956
364 -0.969222 0.11258 0.218941
365 -0.969222 0.218941 0.11258
366 -0.981871 0.186621 0.0331946
367 -0.996215 0.0803753 0.0330996
368 -0.981871 0.0331946 0.186621
369 -0.996215 0.0330996 0.0803753
370 0.0330996 0.0803753 0.996215
371 0.0331946 0.186621 0.981871
372 0.0803753 0.0330996 0.996215
373 0.186621 0.0331946 0.981871
374 0.0412999 0.443926 0.895111
375 0.0414014 0.576487 0.816057
376 0.11258 0.218941 0.969222
377 0.218941 0.11258 0.969222
378 0.120956 0.352052 0.928132
379 0.259323 0.384169 0.886096
380 0.352052 0.120956 0.928132
381 0.384169 0.259323 0.886096
382 0.443926 0.0412999 0.895111
383 0.576487 0.0414014 0.816057
384 0.0414014 0.816057 0.576487
385 0.0412999 0.895111 0.443926
386 0.133629 0.635557 0.760402
387 0.272288 0.535771 0.799255
388 0.133629 0.760402 0.635557
389 0.272288 0.799255 0.535771
390 0.427403 0.56613 0.704857
391 0.427403 0.704857 0.56613
392 0.535771 0.272288 0.799255
393 0.635557 0.133629 0.760402
394 0.56613 0.427403 0.704857
395 0.704857 0.427403 0.56613
396 0.760402 0.133629 0.635557
397 0.799255 0.272288 0.535771
398 0.816057 0.0414014 0.576487
399 0.895111 0.0412999 0.443926
400 0.0331946 0.981871 0.186621
401 0.0330996 0.996215 0.0803753
402 0.0803753 0.996215 0.0330996
403 0.186621 0.981871 0.0331946
404 0.120956 0.928132 0.352052
405 0.259323 0.886096 0.384169
406 0.11258 0.969222 0.218941
407 0.218941 0.969222 0.11258
408 0.384169 0.886096 0.259323
409 0.352052 0.928132 0.120956
410 0.443926 0.895111 0.0412999
411 0.576487 0.816057 0.0414014
412 0.56613 0.704857 0.427403
413 0.704857 0.56613 0.427403
414 0.535771 0.799255 0.272288
415 0.635557 0.760402 0.133629
416 0.799255 0.535771 0.272288
417 0.760402 0.635557 0.133629
418 0.816057 0.576487 0.0414014
419 0.895111 0.443926 0.0412999
420 0.886096 0.259323 0.384169
421 0.928132 0.120956 0.352052
